Date,Product Title,Price,Rating,Review,Sold Products,Image Link
2021-05-13,Crunchy Wafer Coated Center filled chocolate | Imported | 35 to 40 Pieces | 500grams,355,4.84906,53,0,https://static-01.daraz.pk/p/d9beab8c3ee1960b99c5d5eec1639b1f.jpg
2021-05-13,Protex Balance Bar Soap 135g,57,4.9661,59,0,https://static-01.daraz.pk/p/24e92f0b7e02d82d216c706d406ea130.jpg
2021-05-13,Mezan Hardum Danedar Pouch 950 GM,855,5.0,18,0,https://static-01.daraz.pk/p/3d1a70f22a9dbe2fac6148d5698c543a.jpg
2021-05-13,ALL Alphabets / Letter Balloons Golden 16 Inches - Golden Foil Balloon Birthday Wedding party Decoration customized Name Balloon,35,4.85,40,0,https://static-01.daraz.pk/p/a03381c4cab7fc1a9efb7b5f7cd131ca.jpg
2021-05-13,White Cumin - White Zeera - High Quality - Gross weight 80 grams,85,4.88636,44,0,https://static-01.daraz.pk/p/mdc/6bed857a4dca4dfe316593c39d3f0245.jpg
2021-05-14,6 pieces large Plastic hair clips catcher,93,4.625,72,49,https://static-01.daraz.pk/p/b7f9149af8a36c5b022fa6b116604349.jpg
2021-05-14,Dalda Cooking Oil 1x5kg Pillow Pouch,1525,4.94734,1633,143,https://static-01.daraz.pk/p/bd3436fa7c6a4f8dbd2b7c94e9b8f2a5.jpg
2021-05-14,Digital Tally Counter with Beads Misbaha AKA Tasbeeh or Tasbih Counter Stress Relaxation,445,5.0,70,140,https://static-01.daraz.pk/p/ca896a483f1a351e19cd9028711e1412.jpg
2021-05-14,Face Wash - Insta White 100ml,189,4.78571,154,29,https://static-01.daraz.pk/p/a1d84558fe772eb55a0a0c1ab66156e6.jpg
2021-05-14,Digital Tally Counter with light or  Tasbih / Tasbeeh TS-27,95,5.0,9,25,https://static-01.daraz.pk/p/2799465123a96b77de5680b1e8a7e58e.jpg
2021-05-14,NESTLÉ NIDO 1+ 1000g - Growing Up Formula,1188,4.82979,1175,300,https://static-01.daraz.pk/p/f95ae58675d8a106633bb7c98241a462.jpg
2021-05-14,Plug for Honda cd70  and Honda 125  all China bikes,138,4.44898,49,25,https://static-01.daraz.pk/p/bd949dac82811c2e4541fa192c7f99e9.jpg
2021-05-14,Kurkure Chatni Chaska Rs. 10 - 17g,10,4.96975,529,65,https://static-01.daraz.pk/p/404b58ffceabcdd7423430949138d3c3.jpg
2021-05-14,JITENG - JT-813 - Gaming Headset With Mic for PC and Cellphone - Computer Headphones - Dual Pin Wired Headset For PC And Dual AUX Port Devices Headphone for Mobile Phones Best for Online Classes / Work From Home / PUBG - PS4 Gaming,1130,4.58065,31,21,https://static-01.daraz.pk/p/71c3ca8aab19ebde1be79eb678b4200e.jpg
2021-05-14,Surgical Face Mask Black / 70GSM  Pack of 10,41,5.0,8,36,https://static-01.daraz.pk/p/32c8412eb4892d80f9e576319bcc4700.jpg
2021-05-14,SURF EXCEL 1 KG,275,4.94876,566,64,https://static-01.daraz.pk/p/4228bc277fe240f3d81ff45cf3cba4fe.jpg
2021-05-14,Threads - Nalki - Dhaga - 100 pieces - Different colors - Proper package for sewing.,489,4.6828,372,80,https://static-01.daraz.pk/p/3d690d83cd71615e72dd79f08a7b8466.jpg
2021-05-14,Soft Kids / Children Prayer Mat | Jai Namaz | Janamaz - بچوں کی جائے نماز,190,4.78947,19,16,https://static-01.daraz.pk/p/15641069aa220186709b7b2d2e1e7786.jpg
2021-05-14,Super Magic Changeable Clothes Pluto Plastic Hanger Space Saving Saver Wonder Closet Organizer 9 Holes Holder Cloths and Pants Hanger,40,4.77934,213,53,https://static-01.daraz.pk/p/e9fbd718ea39e8c6f7e4c6fa1a598260.jpg
2021-05-14,Protex Gentle Bar Soap 100g,48,4.88889,45,16,https://static-01.daraz.pk/p/b93220213e718b92a0ad3492a9be63cb.jpg
2021-05-14,BABY FRUIT AND VEGETABLE FEEDING PACIFIER WITH RATTLE - FRUIT FEEDER - FRUIT SOOTHER,146,4.976,125,10,https://static-01.daraz.pk/p/70ccccad03ae730ad79096cc42ef7cab.jpg
